model,url,name,sub_title,color,price,availability,description,avg_rating,review_count,images,available_sizes,uniq_id
13814665,https://www.nike.com/t/club-américa-womens-dri-fit-soccer-jersey-dress-MP2NrK,Club América,Women's Nike Dri-FIT Soccer Jersey Dress,Black/Black,90.0,InStock,"Inspired by traditional soccer jerseys, the Club América Jersey Dress is an effortless look you can easily throw on and go.Keep CoolNike Dri-FIT technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.Stash and GoSide pockets let you store your essentials when you're on the move.Streetwear FlairJersey details pair with a flowy design for casual team pride.Product DetailsStandard fit for a relaxed, easy feel100% polyesterMachine washImportedShown: Black/BlackStyle: CW0788-010",5.0,1.0,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3f1d69c3-9a25-4e62-bd8e-e855d55c5d1e/club-am%C3%A9rica-womens-dri-fit-soccer-jersey-dress-MP2NrK.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/6d1c9956-3ca8-4441-83d4-d709e4119aa7/club-am%C3%A9rica-womens-dri-fit-soccer-jersey-dress-MP2NrK.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/413975ce-65a8-4168-86a3-23c433c0e8c6/club-am%C3%A9rica-womens-dri-fit-soccer-jersey-dress-MP2NrK.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/0d83aa8a-29f7-407c-b39b-c3e3d864e9d6/club-am%C3%A9rica-womens-dri-fit-soccer-jersey-dress-MP2NrK.png",L (12–14),f8ebb2ed-17ae-5719-b750-5ea3ec69b75c
13918594,https://www.nike.com/t/sportswear-mens-logo-t-shirt-vKCNwD,Nike Sportswear,Men's Logo T-Shirt,Redstone,28.97,InStock,"SWOOSH DETAILS.Keep it classic in the Nike Sportswear T-Shirt. Thick, comfortable cotton pairs with an embroidered Nike logo for a look that'll keep you groovin' all day.Product DetailsStandard fit for a relaxed, easy feel100% cottonMachine washImportedShown: RedstoneStyle: DQ3511-670",5.0,1.0,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/88dae55d-e141-4a34-97df-5ef2dae0e5fd/sportswear-mens-logo-t-shirt-vKCNwD.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/1c31bf67-9c1a-42d1-97a1-3bb5b0f48b7a/sportswear-mens-logo-t-shirt-vKCNwD.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3b48f882-ca42-4d50-bade-98e2142825de/sportswear-mens-logo-t-shirt-vKCNwD.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/bd526889-476f-4f0f-94b1-485e72839f39/sportswear-mens-logo-t-shirt-vKCNwD.png",S,b24f9f9b-c408-5d83-b7a6-4980af41e9d7
13941353,https://www.nike.com/t/air-jordan-1-zoom-cmft-shoes-0d4Vf0,Air Jordan 1 Zoom CMFT,Shoes,Fossil Stone/Fossil Rose/Psychic Purple/White,150.0,InStock,"A CLASSIC RECRAFTED FOR COMFORT.Making iconic style even more comfortable. The Air Jordan 1 Zoom Cmft remakes the 1st Air Jordan with lightweight, low-profile cushioning and elements that improve wearability. Leathers and textiles in the upper have a broken-in feel. A lined, padded collar cups the heel for a secure fit.BenefitsA Zoom Air unit provides lightweight, responsive cushioning.Genuine and synthetic leather and textile materials in the upper for durability.Lined, padded collar provides comfort around heel and ankle.Product DetailsFoam sole with rubber sidewallsRubber tractionSocklinerShown: Fossil Stone/Fossil Rose/Psychic Purple/WhiteStyle: CT0978-201",4.8,120.0,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/4b95e771-5ca2-4d71-9947-2fc8367f8e45/air-jordan-1-zoom-cmft-shoes-0d4Vf0.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/bd7bba6e-55c9-45e9-893d-310db89e1bd3/air-jordan-1-zoom-cmft-shoes-0d4Vf0.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/eb154f73-b9b6-479f-b250-d31aad099057/air-jordan-1-zoom-cmft-shoes-0d4Vf0.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/824053d0-2dfa-46de-a7c6-68889284f30a/air-jordan-1-zoom-cmft-shoes-0d4Vf0.png",M 9 / W 10.5 | M 9.5 / W 11 | M 10 / W 11.5 | M 10.5 / W 12 | M 11 / W 12.5,6b61ab80-838f-595c-9079-87ba7f2acb4b
14027597,https://www.nike.com/t/zion-2-mens-basketball-shoes-NlS7lv,Zion 2,Men's Basketball Shoes,Flax/Sesame/Fauna Brown/Muslin,119.97,InStock," Channel your skills in footwear designed for Zion Williamson and built for ballers at any level. An adjustable strap up top helps lock your foot in while an Air-Sole unit and firm midsole support high-paced play. Make it your number 1 pick for the court.BenefitsNike Air-Sole unit provides lightweight cushioning.Zoom Air cushioning under the forefoot provides springy, responsive support.Textile and synthetic leather in the upper provide structure and durability.Foam midsole adds responsive cushioning.Padded collar wraps your ankle with a soft touch.Rubber tread gives you durable traction.Product DetailsZion Williamson's name displayed on the tongue and outsoleAdjustable strap over laces for a secure fitJumpman logo on sidePlastic shank at midsole for stabilizationShown: Flax/Sesame/Fauna Brown/MuslinStyle: DV3462-212",4.7,3.0,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a411221b-097a-4a09-abce-502d02e0b873/zion-2-mens-basketball-shoes-NlS7lv.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/4c664c3f-7389-4bee-9f6a-0fa05ff6b752/zion-2-mens-basketball-shoes-NlS7lv.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/dca71dc5-c84f-4680-be80-a49115897531/zion-2-mens-basketball-shoes-NlS7lv.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/5801372e-9829-424e-ba4a-288453edbec0/zion-2-mens-basketball-shoes-NlS7lv.png",8,7a8a3b52-8ecd-5cd0-ac43-fa133713b908
11825513,https://www.nike.com/t/sfb-gen-2-8-tactical-boot-ZwTJlXe3,Nike SFB Gen 2 8”,Tactical Boot,Black/Black/Black,140.0,InStock,"SECOND GENERATION PROTECTION.Made with durable nylon canvas and synthetic leather, the Nike SFB Gen 2 8” is a lightweight tactical boot designed for speed and flexibility over rough terrain. Inspired by Nike Free technology, the flexible sole is equipped with an aggressive traction pattern for multi-surface grip and an internal rock shield to help prevent punctures.BenefitsPolishable synthetic leather and nylon canvas provide durability and breathability.Dual-zone lacing integrates with a durable webbing system for enhanced stability and a locked-in fit.Metal screen vents on the medial side help keep your foot cool.Reinforced stitch and rubber at the toe add durability.Foam midsole gives you lightweight cushioning.Internal rock shield helps prevent punctures and reduce pressure.Rubber outsole with reinforced heel strike zone offers durable traction on a variety of surfaces.Shallow flex grooves are anatomically placed to let your foot move naturally while preventing debris from sticking.Sawtooth design at the arch provides additional grip.Product DetailsOutsole inspired by Nike Free technologyRemovable sockliner8"" collarHeel pull tabWeight: 16.4 ounces (men’s size 10.5)Shown: Black/Black/BlackStyle: 922474-001SFB OriginsThe SFB collection honors Nike co-founder Bill Bowerman and his WWII service. Upon his return, he became the head track and field coach at his alma mater, the University of Oregon, where he began creating high-performance footwear for his athletes. Just like Bowerman, everything in the SFB collection is field-proven and dedicated to athletes.",3.8,28.0,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/ygil7q2pr3ncwexcs9fd/sfb-gen-2-8-tactical-boot-ZwTJlXe3.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/u2mlh4gakvmhppevuoby/sfb-gen-2-8-tactical-boot-ZwTJlXe3.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/h0o7ohtvfdkqwakdpnri/sfb-gen-2-8-tactical-boot-ZwTJlXe3.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/vyeh6bjg5eifzxnvbpl7/sfb-gen-2-8-tactical-boot-ZwTJlXe3.png",M 6 / W 7.5 | M 6.5 / W 8 | M 7 / W 8.5 | M 7.5 / W 9 | M 8 / W 9.5 | M 8.5 / W 10 | M 9 / W 10.5 | M 9.5 / W 11 | M 10 / W 11.5 | M 10.5 / W 12 | M 11 / W 12.5 | M 11.5 / W 13 | M 12 / W 13.5 | M 12.5 / W 14 | M 13 / W 14.5 | M 14 / W 15.5 | M 15 / W 16.5,d3885ffa-1701-5558-8840-2e542bec2515
13824254,https://www.nike.com/t/offline-pack-mens-shoes-Kb0Lw5,Nike Offline Pack,Men's Shoes,Light Smoke Grey/Flat Pewter/Grey Fog/Iron Grey,92.97,InStock,"SLEEPING BAGS FOR YOUR FEET.Get ready for a sensory experience like no other—the ergonomic design, pillowy upper and comfort insole give your feet a place to relax while you get your 10,000 steps. A textile upper features soft, pillowy fabrics while the stitching details create a puffer aesthetic.BenefitsRubber outsole adds traction and durability.Unique lacing system lets you customize your fit.Padded, low-cut collar looks sleek and feels comfortable.Product Details""NIKE"" on toePull tab on heelNot intended for use as Personal Protective Equipment (PPE)Shown: Light Smoke Grey/Flat Pewter/Grey Fog/Iron GreyStyle: DJ6230-001",4.8,5.0,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/cc7901b4-637b-4848-b8ba-9d198d59bf1f/offline-pack-mens-shoes-Kb0Lw5.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/840bdad4-2fc0-4338-a1a4-394493d55395/offline-pack-mens-shoes-Kb0Lw5.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/0c2af793-e9a0-465a-800c-ed24a1c52091/offline-pack-mens-shoes-Kb0Lw5.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/78e1245b-3e5e-409b-bc5e-bb70467576eb/offline-pack-mens-shoes-Kb0Lw5.png",8 | 8.5 | 9 | 9.5 | 10 | 10.5 | 11 | 11.5,481c96e9-cdaf-57fd-9012-a3c033e907c3
13731002,https://www.nike.com/t/houston-astros-womens-replica-baseball-jersey-LXLpBw,MLB Houston Astros,Women's Replica Baseball Jersey,Midnight Navy,115.0,InStock,LOYALTY TO YOUR TEAM.The MLB Houston Astros Jersey helps deliver a comfortable fit with its polyester material. It features team details to add authenticity to your look on game day.Product Details100% polyesterMachine washImportedShown: Midnight NavyStyle: T773HUNUHUS-XVU,4.8,5.0,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/ea16c21e-5a88-4fba-bf7c-c1c5b02e6b5d/houston-astros-womens-replica-baseball-jersey-LXLpBw.png",S (4–6) | M (8–10) | L (12–14) | XL (16–18) | 2XL (20–22),ecfe8f36-7044-5af2-a9d2-481945ca7b85
12090072,https://www.nike.com/t/zoned-support-calf-sleeves-LBTgeOkn,Nike Zoned Support,Calf Sleeves,Black,45.0,InStock,"DRY SUPPORT.The Nike Zoned Support Calf Sleeves feature a sweat-wicking, compressive design for dry comfort and optimal support.BenefitsDri-FIT technology helps keep you dry and comfortable.Flat seams feel smooth against your skin.Left/right specific provide an enhanced fit.Product DetailsSold as a pairReflective elementsThis product is not intended for use as Personal Protective Equipment (PPE)70% nylon/30% spandexMachine washImportedShown: BlackStyle: NRSE5-042",4.8,11.0,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/nay2l3pn9fmwjthjosp4/zoned-support-calf-sleeves-LBTgeOkn.png",S | M | L | XL,2b803f79-b3d2-554d-9015-e03dbb28ec3f
